Stock_Ticker,Decision_Date,CAR,CAR/Sigma
FB,"May 17, 2016",-0.000508781079577,-0.021072643379183208
FDX,"May 9, 2017",-0.008419315162619,-0.6410972954820758
ODP,"June 30, 2015",-0.0007870860177900002,-0.0187643755026448
ADSK,"April 12, 2016",-0.004466886784600003,-0.18227942033882338
EA,"December 7, 2016",-0.0024476197860099995,-0.09576591690325709
AAPL,"May 17, 2016",0.01969279042508,1.0353201369197478
MMM,"January 13, 2016",0.011114481611610001,1.1188224524601096
DD,"August 19, 2016",0.00569442235662,0.2297808515973847
AAPL,"August 1, 2016",0.012910274046720002,0.6807151532826367
INTC,"January 14, 2014",0.030017752260794,1.995081941584832
ALG,"May 26, 2016",-0.00020977480974000012,-0.007225760820810224
HPQ,"July 9, 2015",-0.01034066523449,-0.5170689196731725
LLY,"July 8, 2015",-0.0030213648263600003,-0.23526050582602512
CSCO,"August 8, 2014",0.00478836554265,0.25109621017274136
XLNX,"October 9, 2015",-0.01057097085256,-0.6146754536455372
ATHX,"May 7, 2015",0.07428389137079999,1.3933961980700955
SUPN,"December 12, 2016",-0.006617507195610001,-0.16131740198530536
HPQ,"September 14, 2015",-0.01010519816447,-0.5464203451788848
NATI,"August 11, 2014",-0.0025328222829680003,-0.14065205498932248
AMZN,"November 26, 2014",0.01429689725109,0.5657425756077309
MMM,"February 10, 2016",-0.0067736964744009,-0.6842608284916508
TWTR,"May 17, 2016",0.006707985233400002,0.1474662923919131
MSFT,"November 6, 2014",0.01145696349819,0.812473480459282
YHOO,"July 22, 2013",-0.0672354783315,-3.787191591673901
YHOO,"May 17, 2016",0.006182630325717,0.2343560669198836
XRX,"February 13, 2017",0.0135539199188,0.63378263533365
F,"April 21, 2017",-0.01223001162152,-0.6576509342294995
TXN,"April 25, 2016",0.01167927640211,0.6138491826389992
PRSS,"November 10, 2016",-0.0438901687769,-1.1019697298927242
RTEC,"February 3, 2016",-0.0029521533944000013,-0.08706866189977454
NVS,"May 21, 2015",0.0024097031743299992,0.17580483194934382
GE,"December 17, 2015",0.019775988878219998,1.3354053077495178
YHOO,"February 26, 2014",0.02103094505753,0.9220637820615883
PFE,"July 1, 2014",0.01639495403525,1.48541776526721
AMZN,"November 9, 2015",0.001812217976745,0.06677231580142111
SYMC,"November 13, 2013",0.0029080133068000004,0.1848500250744997
CSCO,"May 31, 2016",-0.00137975430126,-0.07891719521565384
ILMN,"July 26, 2016",0.08054925657128001,1.7644952083456868
NK,"May 3, 2017",-0.04331247692016,-0.8636181996230823
CNXN,"June 30, 2015",-0.01140230569271,-0.48867135509348425
SBH,"April 25, 2016",0.0244954736075,0.8367459491380281
JAKK,"June 11, 2014",-0.022873596776737,-0.49469300703086966
CBS,"September 30, 2016",1.182100077999973e-05,0.0006442408600056401
XLNX,"April 12, 2017",0.005975898325299999,0.40582982246809335
PHG,"May 10, 2013",0.02792511057272,1.4120768125966177
MMM,"July 8, 2015",0.005606350863942,0.6012267728013576
MSI,"March 6, 2015",-0.01126404419719,-0.8641486864734303
TXN,"January 14, 2014",0.01132394828648,0.910556524086013
AAPL,"November 5, 2015",-0.00191072047821,-0.10792555584968903
AAPL,"May 26, 2016",0.0037695023094899997,0.19618043722031264
HPQ,"December 28, 2016",-0.004967466692633,-0.24347246729363942
GE,"July 8, 2015",-0.0014670054148799997,-0.10393062563232869
F,"March 27, 2017",-0.0037699483463800006,-0.20856167004861126
DEPO,"February 21, 2017",0.036766289223700004,0.8339538404577764
ADBE,"April 8, 2016",-0.011412295517945,-0.7099402685827195
BAC,"January 27, 2014",0.01530950966691,1.0327489436758401
AAPL,"October 7, 2016",0.01877593591111,1.0281599321639867
BDC,"April 17, 2015",0.00852774076322,0.4841823930116074
TXN,"January 8, 2015",0.004795080568169999,0.3376510811579892
AAPL,"December 9, 2016",0.00536328118273,0.29004037852449094
BDSI,"August 10, 2016",0.07030961512611,1.0737864782329363
MSFT,"July 11, 2016",0.003212948231893,0.18315263411099578
MSFT,"February 17, 2016",0.0036017609496399993,0.19681443340898017
NVDA,"April 25, 2016",0.00262149340513,0.09880758080054369
HPE,"March 14, 2017",0.00688928989575,0.3703694138597866
MMM,"July 9, 2015",-0.00159836991574,-0.17139673600908356
ADBE,"March 14, 2016",0.00983882268585,0.6124157091843713
CBS,"February 1, 2016",0.0026438825751300002,0.16211713401037073
ATHN,"April 12, 2017",-0.02789638774445,-0.8408652455323765
AET,"January 18, 2017",0.01528742972683,1.0117162423902064
XLNX,"February 1, 2016",-0.016598200486810002,-1.0485900761838
AMZN,"December 17, 2015",0.01369987539279,0.5100469220378028
EBAY,"March 19, 2013",0.036940724899300004,1.784457934392433
OSTK,"May 10, 2013",0.02160645555376,0.5274544916368864
DD,"May 9, 2014",-0.01068524104401,-0.9308815067507646
HPQ,"April 25, 2016",0.013794454988075,0.4705324082512982
