Stock_Ticker,Decision_Date,CAR,CAR/Sigma
CDW,"June 30, 2015",-0.01066933373421,-0.4146236679083143
INTC,"December 28, 2016",-0.017147853228047,-0.5895187734982311
IBM,"March 7, 2017",-0.01994413140562,-1.3680536846692712
BBRY,"February 27, 2017",-0.020798627365483,-0.6323403648021879
AAPL,"August 16, 2016",0.0004394024001600008,0.02634519332700833
AVID,"March 1, 2016",-0.28155004713014,-3.7610964450156934
V,"February 9, 2016",0.017160380510860003,1.5335314885459952
CNXN,"June 30, 2015",-0.04156310551228,-1.3834558091559053
FB,"July 16, 2014",0.014717635142829998,0.4872370571913025
JNJ,"January 14, 2014",-0.00886567957985,-0.8773448191405208
CSCO,"April 7, 2017",-0.02669789990995,-1.5120814496646664
ZNGA,"March 17, 2015",0.052061943002390004,0.8020002637649117
FB,"May 17, 2016",-0.007658989249917,-0.3419668829764635
F,"April 21, 2017",-0.026943933246540003,-1.4120490200306515
INTC,"June 6, 2014",0.011710366674029998,0.6768920918017561
FDX,"May 9, 2017",0.007964639276230001,0.4004345257393621
ODP,"June 30, 2015",0.026719660344149996,1.4397876187345167
ADSK,"April 12, 2016",0.0011716755632700008,0.02127609101326176
EA,"December 7, 2016",0.017710638009173302,0.9083359523189186
MSI,"April 13, 2015",-0.032539421576692,-1.2077016217227523
AAPL,"May 11, 2017",-0.012453024256839999,-1.2526672815401714
AMZN,"February 10, 2017",-0.0057986397606299995,-0.25371863661990895
AAPL,"May 17, 2016",0.026839499278289998,1.4628628997731326
BBY,"January 15, 2014",-0.36361632498908997,-6.197842445467403
WDC,"January 9, 2015",-0.025422301758239993,-0.8731240061563009
ADBE,"December 4, 2014",0.0004334173178800007,0.013465456532717773
ACTG,"December 3, 2013",-0.06706061311879999,-0.6115356534064251
FIS,"October 13, 2016",-0.0020174213382780004,-0.11188593907191056
MSFT,"December 4, 2014",0.00814345949214,0.4582565409133682
AAPL,"December 11, 2014",-0.025752362259969998,-1.0041546357672195
AAPL,"August 1, 2016",0.02688344369396,1.195996311628644
MSFT,"April 7, 2017",-0.007388320538307,-0.44611753757829486
MSFT,"November 8, 2013",-0.02097571206856,-0.48800505590625726
AMZN,"September 23, 2016",0.04036826957019,2.867451993634988
INTC,"January 14, 2014",-0.005307413505339998,-0.16903970671555957
ALG,"May 26, 2016",-0.0012153874500410006,-0.026054959151989434
HON,"March 14, 2016",-0.001741953470110001,-0.08303878318009154
HPQ,"December 2, 2015",0.030434044989813003,0.8274713160653445
AMGN,"December 5, 2014",0.014555390682219997,0.8463440475628753
CAR,"February 26, 2014",0.0011356997781470021,0.050260673604894605
TESO,"October 30, 2015",-0.04570814240585001,-1.0263688083065718
FB,"January 7, 2016",-0.03227628903022,-1.0248489620732435
AMZN,"June 11, 2015",-0.039181270961271,-0.7047488177778269
CSCO,"August 8, 2014",-0.01544239306045,-0.5392841234607836
ILMN,"July 17, 2015",-0.048209269146430006,-1.4883345988275423
KMB,"July 10, 2014",-0.0008032054636399999,-0.04535676390488287
AMZN,"December 7, 2016",-0.02179887555707,-1.3927103766046909
YHOO,"January 13, 2017",-0.018555594746404697,-0.8179301938816584
OSTK,"May 15, 2013",-0.035719914453746,-0.749470525861905
AAPL,"December 16, 2015",-0.03791392734324,-1.1892275266962657
AAPL,"February 17, 2017",-0.014174316769906999,-1.1313092326006138
MSFT,"May 22, 2015",0.004296806051208001,0.1755738636252484
MON,"June 10, 2013",0.057167206410455994,2.2126439680728036
CL,"May 29, 2013",-0.017895704543659997,-1.371605555956702
AMZN,"February 26, 2014",-0.013392470573207,-0.6685234633118227
AAPL,"July 14, 2014",-0.032533189055119996,-0.876761203128923
BMRN,"June 14, 2016",0.023500880207769997,0.38041239888686196
SLAB,"November 8, 2016",-0.03467965801324,-1.7590419846035885
MS,"January 27, 2014",-0.025252022323703997,-1.4599341408724886
MSFT,"May 9, 2016",0.008526732885406499,0.3912764854832299
NOK,"January 10, 2014",-0.043158684378233,-0.7323586643004497
XLNX,"February 15, 2017",-0.01283350220641,-0.42357650773854094
NVDA,"March 15, 2017",0.01749343068545,0.2892737191678109
AMZN,"November 26, 2014",-0.055345484230689995,-2.384231040238462
PRSS,"November 10, 2016",-0.1142007036092,-2.5842993585764424
SPLS,"February 8, 2016",-0.01853540395125,-0.3026889293548585
AMZN,"December 30, 2014",-0.009580380605136,-0.2084385972720113
AMZN,"July 22, 2013",0.034874736219079994,0.9355802146522533
DAL,"April 26, 2013",0.031090519703270002,0.6502762763767961
PHG,"December 11, 2014",-0.01291832628296,-0.37476719017014476
AMZN,"April 14, 2015",-0.027632013486759997,-0.44173580643160787
BWA,"June 10, 2014",-0.00531673370568,-0.2793391529395048
AMD,"January 14, 2014",0.016302416885970006,0.20888761747645992
JKHY,"October 13, 2015",-0.01595620124207,-0.8369128789140691
INFN,"June 29, 2015",0.00567926469156,0.11669904295141885
MNTA,"November 10, 2015",0.033041470455870005,0.6366256015956709
COF,"March 7, 2017",0.007979661126347,0.6292362826191218
BBBY,"April 7, 2016",-0.045152880737830005,-1.3147512356018136
TWTR,"May 17, 2016",0.037670380916969996,0.6469259005971782
MSFT,"November 6, 2014",-0.0004260286404170004,-0.02595718710124563
