Stock_Ticker,Decision_Date,CAR,CAR/Sigma
AAPL,"November 6, 2012",-0.08176536393353,-3.4161687561600873
AAPL,"October 1, 2010",0.007208655920940003,0.2818495495104453
BKS,"November 4, 2014",0.061172400758539996,1.368185936409259
OSTK,"January 16, 2015",-0.12168828620344,-1.9910312494503788
VAR,"February 23, 2012",-0.021493814922659997,-1.2742770646493036
AAPL,"September 21, 2016",-0.04544685305245,-1.4694538139228515
GILD,"December 15, 2016",0.03248201881828,1.4485621565220514
MASI,"October 1, 2014",0.07687514009192999,1.4234650013359846
MSFT,"May 20, 2009",-0.016678558750041997,-0.3187722301922343
MSFT,"April 8, 2009",0.021092197644660002,0.36271368696258627
AAPL,"February 24, 2015",0.015272868710490002,0.7403872126674998
TECD,"November 19, 2008",-0.1691923824639,-4.4396223328746025
EXTR,"May 30, 2008",-0.045778060232910006,-1.1446097766501395
MSFT,"March 16, 2010",0.001733637746273,0.08348160344991044
GILD,"January 26, 2017",0.02445116243,0.8733718946804135
IBM,"February 23, 2011",0.0055892081631877,0.47630108965343476
MGI,"September 24, 2009",-0.07580655796130001,-0.5038544673054773
LLNW,"February 29, 2008",-0.3570803358169,-3.803206272340872
AAPL,"October 19, 2015",0.01957444445084,0.5528174219179374
ILMN,"June 19, 2013",0.04378769362558,0.8786995673685335
AVP,"November 18, 2011",0.011862653753406002,0.5489279232257632
AAPL,"September 14, 2016",0.09244221574280999,3.017137793101494
TGT,"November 6, 2012",-0.007373275882272002,-0.3965220010537478
WDC,"July 26, 2011",0.060029399743270005,2.552250475712094
MMM,"November 30, 2012",-0.004535232912983701,-0.3111608238706593
CSCO,"May 12, 2016",0.012060521484680002,0.8319451636818154
ENZ,"November 1, 2012",0.24123123399850002,3.337144877427879
ELY,"March 5, 2010",0.06507737033,1.7682693801258038
AAPL,"November 17, 2014",0.02384398226008,0.7629349374610817
ABT,"June 29, 2009",-0.001332557728069999,-0.028085559874608968
ILMN,"March 14, 2013",-0.00955776145383,-0.1776729619104977
HAE,"January 30, 2009",0.07051226038822,1.8036072568484245
WHR,"March 10, 2017",0.00743441624881,0.3871556529508776
AAPL,"December 15, 2016",0.02856125182516,1.5801846959138162
BDX,"November 9, 2009",0.02904639513743,1.2647132181493388
AKAM,"February 29, 2008",0.1164836845137,2.084881227182076
NTGR,"June 13, 2013",0.0021120826155500002,0.044440324587041065
POWI,"March 4, 2014",0.04532539356494,1.5351274105335664
SSNI,"June 6, 2014",0.13383314496871,2.582801632634111
SNPS,"March 10, 2016",-0.0021520150759341996,-0.12400934120711765
LLY,"May 18, 2017",-0.05049089335934,-2.9555884617276997
POWI,"December 18, 2015",0.02115447954818,0.41441207353078924
VSAT,"April 24, 2014",-0.026155788171870004,-0.5150657227891416
BSX,"May 11, 2011",-0.13150180920308002,-2.8740781105714066
CBS,"September 15, 2014",-0.005536570849752999,-0.14313187763858667
SYMC,"February 6, 2015",-0.02115615459206,-1.1729112679593177
SHLD,"May 12, 2017",-0.31678747297219995,-2.4274596864172966
JNJ,"January 28, 2011",-0.008510760314665002,-0.773160621997386
LZB,"March 16, 2016",0.027300752570694,0.6964378815843747
GGG,"November 17, 2016",-0.035345743424827,-1.6090196840819906
SYK,"February 5, 2013",-0.006193788947184,-0.4816507321200644
CTXS,"June 18, 2012",-0.01199254698057,-0.23542396517315234
AVX,"January 26, 2016",0.036934118219,1.9966172485739604
GMED,"June 14, 2013",0.0061930818482599966,0.15258688718490526
BSX,"May 12, 2011",-0.11255517436635,-2.4606734189450568
FFIV,"March 15, 2016",0.014317144921409999,0.4349909936421739
POWI,"December 17, 2015",0.0052378288976099975,0.1017894020197868
MON,"September 21, 2010",-0.09560143297388,-1.9006856041038498
YHOO,"May 15, 2009",0.0008684092679079984,0.01512779434341815
AAPL,"February 3, 2016",0.014305786690274,0.5321657937424462
HAS,"March 24, 2008",0.02497049276298,0.4508152706294509
HOLX,"October 17, 2011",-0.041965159704918,-1.421443047722613
MON,"August 1, 2012",-0.01787012280125,-0.6181477581790975
CGNX,"May 1, 2015",-0.066846578811442,-1.9232866028104265
CGNX,"May 1, 2014",-0.012280995862570001,-0.23362625345764096
RDWR,"March 15, 2016",0.031081249025830003,0.7396617249187744
ROK,"October 16, 2012",0.01101291470738,0.3876271938670424
CSCO,"April 8, 2011",0.052668224877210006,0.7998316355254752
BSX,"May 27, 2008",-0.02312739636014,-0.6226734616243513
BRCD,"August 6, 2012",0.039207051018790004,0.6062368291671746
POWI,"June 5, 2015",-0.004340974632799999,-0.12832749519911263
FOSL,"April 3, 2014",-0.042397139960329996,-1.1847000642224288
EA,"December 5, 2014",0.053040238456330005,1.6931975956007728
CSCO,"May 17, 2010",-0.057990530274718004,-2.7991466500152904
GILD,"March 24, 2016",0.010481935197369998,0.21844276862564388
BSX,"February 11, 2008",-0.005702384489456997,-0.1280834976987337
HOLX,"September 4, 2012",-0.010414392275987998,-0.4300954432143131
SPLS,"December 21, 2010",0.005079589710600001,0.22983719308885686
PII,"April 16, 2009",0.06802334692139,1.0172708088778155
NATI,"February 29, 2012",-0.03801581994491,-1.0253826568570603
WHR,"March 11, 2010",-0.01955003252936,-0.7000843283776874
PRKR,"October 28, 2013",-0.9917168069933001,-12.751039021050284
CSCO,"March 22, 2013",-0.042173185167483,-2.046216114688609
AVT,"January 28, 2016",0.012553682881850001,0.5459996244656408
LLY,"April 21, 2017",-0.02721212535394,-1.3331810674279814
NUVA,"September 20, 2011",-0.038208653028449995,-0.9544290476281921
GE,"March 8, 2012",-0.006051821312373,-0.2735342244854589
AAPL,"April 23, 2009",-0.014468053040404,-0.3852669477871084
XLNX,"May 18, 2012",-0.009455370326039998,-0.4275828835028445
CAMP,"February 24, 2016",-0.03700156381227,-0.5639686552480471
VZ,"August 2, 2011",0.03328414743921,2.2400878387919074
CIX,"February 25, 2010",0.09604574224047999,1.454684415694666
AAPL,"July 8, 2011",0.02156970255232,0.9055864830028358
IDT,"February 15, 2011",-0.03486779888239999,-0.33750607982078035
TXN,"June 20, 2014",-0.012361030914505,-0.4097351711466052
PRGO,"December 14, 2016",0.0235911090918,0.5644938898415753
