Stock_Ticker,Decision_Date,CAR,CAR/Sigma
AAPL,"November 6, 2012",-0.08176536393353,-3.4161687561600873
PHG,"November 21, 2013",-0.020387486996659997,-0.9207981768833605
AAPL,"October 1, 2010",0.007208655920940003,0.2818495495104453
BKS,"November 4, 2014",0.061172400758539996,1.368185936409259
OSTK,"January 16, 2015",-0.12168828620344,-1.9910312494503788
NOK,"March 19, 2014",-0.053612679011240005,-1.3256959633419507
PX,"May 26, 2010",-0.00303327462822,-0.26594843765518134
MRO,"September 4, 2015",-0.10637856393524,-2.8268896598298436
CME,"April 15, 2011",0.00694925656507,0.19785664037803577
VAR,"February 23, 2012",-0.021493814922659997,-1.2742770646493036
VIA,"January 23, 2014",0.008048367353009999,0.37852455849089905
AAPL,"September 21, 2016",-0.04544685305245,-1.4694538139228515
BBT,"March 26, 2010",-0.024686969735510003,-0.6083185836726998
BXS,"March 26, 2010",0.01312517283019,0.3999247206020464
GILD,"December 15, 2016",0.03248201881828,1.4485621565220514
MASI,"October 1, 2014",0.07687514009192999,1.4234650013359846
INTC,"April 9, 2008",0.02859988999398,0.46844598736960674
AVT,"May 18, 2012",-0.04929659035217,-2.667651130793817
MSFT,"May 2, 2014",-0.03447703870239,-1.7993086559737108
MSFT,"May 20, 2009",-0.016678558750041997,-0.3187722301922343
BWA,"February 27, 2015",0.048736613217359996,1.7624969780984883
NOK,"November 21, 2013",-0.0861386014014,-0.7303169409811625
MSFT,"April 8, 2009",0.021092197644660002,0.36271368696258627
AAPL,"February 24, 2015",0.015272868710490002,0.7403872126674998
STI,"March 26, 2010",-0.0453521139745,-0.823821972623665
TECD,"November 19, 2008",-0.1691923824639,-4.4396223328746025
EXTR,"May 30, 2008",-0.045778060232910006,-1.1446097766501395
SNPS,"October 10, 2014",-0.028017920684810002,-0.9978620810866938
MSFT,"March 16, 2010",0.001733637746273,0.08348160344991044
DD,"August 1, 2012",-0.006564573020433199,-0.6238704805335
CHKP,"February 6, 2015",-0.020786209736106,-1.5327415681322203
VLO,"November 25, 2013",0.08002341745525,2.591296763925849
USB,"November 25, 2013",0.0038166063782394998,0.2534273818908574
GILD,"January 26, 2017",0.02445116243,0.8733718946804135
EBAY,"January 16, 2015",-0.04173243488615,-2.8483129847932367
IBM,"February 23, 2011",0.0055892081631877,0.47630108965343476
MGI,"September 24, 2009",-0.07580655796130001,-0.5038544673054773
LLNW,"February 29, 2008",-0.3570803358169,-3.803206272340872
BONT,"April 3, 2014",0.07826327669487,1.1423767462166468
AAPL,"October 19, 2015",0.01957444445084,0.5528174219179374
ILMN,"June 19, 2013",0.04378769362558,0.8786995673685335
HPQ,"October 7, 2016",0.010922449970909999,0.7097627325153867
AVP,"November 18, 2011",0.011862653753406002,0.5489279232257632
AAPL,"September 14, 2016",0.09244221574280999,3.017137793101494
TGT,"November 6, 2012",-0.007373275882272002,-0.3965220010537478
DE,"November 25, 2013",-0.010813412952306001,-0.5964079205826596
WDC,"July 26, 2011",0.060029399743270005,2.552250475712094
MSFT,"May 15, 2008",-0.03508204802602,-1.2819149897783417
MMM,"November 30, 2012",-0.004535232912983701,-0.3111608238706593
DUK,"October 3, 2016",-0.047207234341940005,-2.3076817887327157
AMZN,"January 23, 2014",0.01490437476858,0.36024457921106995
MSFT,"March 19, 2014",0.04900724077813,1.4786237664858615
AMZN,"April 15, 2011",0.015650478511844,0.3640212246109462
CSCO,"May 12, 2016",0.012060521484680002,0.8319451636818154
MRVL,"December 26, 2012",-0.08327952790655,-1.4062698311703057
SNX,"November 19, 2008",-0.16806420036083,-2.3612585446225705
MRO,"January 14, 2016",-0.16797387843259998,-2.534947466778609
INTC,"May 2, 2014",0.0008580976607419997,0.07393847630359948
ENZ,"November 1, 2012",0.24123123399850002,3.337144877427879
ELY,"March 5, 2010",0.06507737033,1.7682693801258038
