Stock_Ticker,Decision_Date,CAR,CAR/Sigma
ITGR,"February 9, 2017",0.0013841534463900004,0.06597114532082063
FB,"May 17, 2016",0.00936581481228,0.661192868237067
FDX,"May 9, 2017",-0.01230322750304,-0.9780351505361684
ODP,"June 30, 2015",0.011542232341359999,0.9833934652398282
ADSK,"April 12, 2016",-0.014555267699509999,-0.4179022109949315
EA,"December 7, 2016",0.0014640104272533,0.11872070634763175
AAPL,"May 17, 2016",0.01607056241888,1.3849378887275217
MMM,"January 13, 2016",0.0017769504662830003,0.17616678018003604
DD,"August 19, 2016",0.01609060994511,0.8720731771770084
AAPL,"August 1, 2016",0.009848752628020001,0.6927813283383916
INTC,"January 14, 2014",0.03774237324541,1.9006625378745539
ALG,"May 26, 2016",0.0018890661854399997,0.06403137495142115
HPQ,"July 9, 2015",-0.01504559504422,-0.8815720139866579
LLY,"July 8, 2015",0.0017017894937279999,0.17427557331928759
UEIC,"October 17, 2016",-0.01244159582051,-0.5581645582887005
CSCO,"August 8, 2014",0.01174899880188,0.6487448095451839
XLNX,"October 9, 2015",-0.017732763107880002,-1.084288108485508
ATHX,"May 7, 2015",0.04388813910179999,0.9172022794142869
SUPN,"December 12, 2016",-0.0060403541639000025,-0.17125784550140188
HPQ,"September 14, 2015",0.0012685169870969989,0.10731959741741982
NATI,"August 11, 2014",-0.01125478744185,-1.0432196555375288
AMZN,"November 26, 2014",0.0064163849160400015,0.4370454062148557
MMM,"February 10, 2016",-0.0248858109247,-1.280276927403992
TWTR,"May 17, 2016",0.03157619130489,0.8574015736243282
MSFT,"November 6, 2014",0.009495071000103,0.9147176355309329
YHOO,"July 22, 2013",-0.0666922728559,-3.3675388156229684
YHOO,"May 17, 2016",0.00973336635473,0.6352013543881747
XRX,"February 13, 2017",0.014492413170499999,0.930781725983924
F,"April 21, 2017",-0.014362950669490001,-1.1901520611776213
TXN,"April 25, 2016",0.01002652630227,0.6835400503407195
PRSS,"November 10, 2016",-0.0774524768696,-2.7712732847734958
RTEC,"February 3, 2016",0.0078547042718,0.4596183813172893
NVS,"May 21, 2015",7.449030285000026e-05,0.00697455365614536
GE,"December 17, 2015",0.0318581265373,2.150436482569985
YHOO,"February 26, 2014",0.017728726158100002,0.8939609229185692
PFE,"July 1, 2014",0.02200910449232,1.2285035893715532
AMZN,"November 9, 2015",0.00729919774136,0.5286895523010007
SYMC,"November 13, 2013",0.01640882052492,1.199838835340324
CSCO,"May 31, 2016",-0.00303968941079,-0.3240200364627843
ILMN,"July 26, 2016",0.06470909560511,4.358290671257848
NK,"May 3, 2017",0.0075914967049200005,0.1808954531901625
CNXN,"June 30, 2015",-0.010879825101429999,-0.5725971998128637
SBH,"April 25, 2016",0.0174209639781,0.470410712482674
JAKK,"June 11, 2014",-0.0675217500007,-1.5254696908623975
CBS,"September 30, 2016",0.006909349890030001,0.37637201888388483
XLNX,"April 12, 2017",0.0002713714913000001,0.01528786957904747
PHG,"May 10, 2013",0.03186117715751,1.9479324162633973
MMM,"July 8, 2015",0.00857718215411,0.7708021464894911
MSI,"March 6, 2015",-0.0164940981503,-2.032235693220216
TXN,"January 14, 2014",0.01601255475131,1.350682101942878
AVX,"February 9, 2017",-0.0023284184975600006,-0.21787862475799868
AAPL,"November 5, 2015",0.0021115498098300003,0.12669938397768213
AAPL,"May 26, 2016",-0.0027282722390200003,-0.2579087719676303
HPQ,"December 28, 2016",-0.01354416510863,-0.6156575728255738
GE,"July 8, 2015",-0.0003945254912399998,-0.03490267436728387
F,"March 27, 2017",-0.009716678256300001,-0.5596585011478805
DEPO,"February 21, 2017",0.0412051965128,0.9253921328780992
ADBE,"April 8, 2016",0.01256331396501,0.5663881043867361
BAC,"January 27, 2014",0.00747576079866,0.7521249920446733
AAPL,"October 7, 2016",0.01171825993522,0.591213701740941
BDC,"April 17, 2015",0.0087147662522,0.7432002425264982
TXN,"January 8, 2015",0.0018088083014200004,0.11519264303421059
AAPL,"December 9, 2016",0.009704523386989999,0.7353637737328724
BDSI,"August 10, 2016",0.0486731921171,0.8403478830141752
MSFT,"July 11, 2016",0.0349816146552,1.7297100545600448
MSFT,"February 17, 2016",0.0015009942650069,0.1866254998987613
NVDA,"April 25, 2016",0.00966369564534,0.3365727959550514
HPE,"March 14, 2017",0.01523163415343,1.316094904468895
MMM,"July 9, 2015",0.0035739700970600003,0.3197067561357601
ADBE,"March 14, 2016",0.0097926512218,0.827760155008146
CBS,"February 1, 2016",0.0004549560786400002,0.02899689923943404
ATHN,"April 12, 2017",-0.07867443738640001,-1.8547445954398487
