Stock_Ticker,Decision_Date,CAR,CAR/Sigma
ODP,"June 30, 2015",-0.0279326212712715,-1.5051479602352889
EA,"December 7, 2016",-0.030215899659121997,-1.5497006927602268
MMM,"January 13, 2016",-0.02514921091605,-1.576896008427677
DD,"August 19, 2016",0.004839708529769999,0.16589359724756236
AAPL,"August 1, 2016",0.049502458546519995,2.202275813774911
ALG,"May 26, 2016",0.096200674338687,2.062309134592242
HPQ,"July 9, 2015",0.023895181316701,0.8855003807334638
LLY,"July 8, 2015",0.051425227435699994,3.3307105965777613
UEIC,"October 17, 2016",-0.033810876973367,-0.9593401021327342
ATHX,"May 7, 2015",-0.1107469635303,-1.4637933903980604
HPQ,"September 14, 2015",-0.026294147520204994,-1.4069278881513612
NATI,"August 11, 2014",0.0066006002633,0.3869473634431134
AMZN,"November 26, 2014",0.0235497979022339,1.014502988460865
MMM,"February 10, 2016",0.08720681300553,2.8374781947875287
MSFT,"November 6, 2014",0.005116503528190002,0.3117396972546627
YHOO,"July 22, 2013",0.04621840732805001,1.4759854060300346
XRX,"February 13, 2017",0.027499093290479996,1.1170060135398001
F,"April 21, 2017",0.013020502666399,0.6823646667383343
TXN,"April 25, 2016",-0.01867841453829,-0.8053477950388724
PRSS,"November 10, 2016",-0.010875935256315,-0.24611645654124936
NVS,"May 21, 2015",-0.011426908739982,-0.6766676812231116
GE,"December 17, 2015",-0.00929375756442,-0.39675985368359046
YHOO,"February 26, 2014",-0.04566800719822999,-1.456408013459196
PFE,"July 1, 2014",0.03228905217348001,1.139880567145725
SYMC,"November 13, 2013",0.026713479204866,1.2353954582984787
CSCO,"May 31, 2016",0.006278035943180999,0.42324949583854476
ILMN,"July 26, 2016",0.0009702231207490014,0.04132876969616968
NK,"May 3, 2017",-0.06456775603489999,-0.9730741423907459
CNXN,"June 30, 2015",0.0077046699153500015,0.25645509931567617
SBH,"April 25, 2016",-0.030172755488779998,-0.5152879534262489
JAKK,"June 11, 2014",-0.060779895713499996,-0.8684600390514913
CBS,"September 30, 2016",0.12234640406050001,4.215036577035569
PHG,"May 10, 2013",-0.016312758437080004,-0.6307677321819594
MMM,"July 8, 2015",0.009689361355984999,0.5507105933619229
AAPL,"May 26, 2016",0.018788263383999998,1.1232981535431616
HPQ,"December 28, 2016",-0.0011725272460700008,-0.03370853866536963
GE,"July 8, 2015",-0.011976624308848,-0.6701130233546174
F,"March 27, 2017",-0.03345407971623,-1.218665076739148
DEPO,"February 21, 2017",-0.047885438542799995,-0.6801540339327189
BAC,"January 27, 2014",-0.017809623072721,-1.1332333496204339
AAPL,"October 7, 2016",-0.002616346979520002,-0.0834846630030237
BDC,"April 17, 2015",-0.021950568179684004,-1.1839295535258203
TXN,"January 8, 2015",0.007810004929318,0.3145672489138522
AAPL,"December 9, 2016",-0.008152112420679999,-0.3906862945031247
BDSI,"August 10, 2016",-0.024869502663629993,-0.27156036082243085
MSFT,"February 17, 2016",-0.005035582407261999,-0.39597854397861626
NVDA,"April 25, 2016",-0.02132426576258,-0.46972086187655304
MMM,"July 9, 2015",0.007943172496108,0.44939153659589737
CBS,"February 1, 2016",-0.013919163642916,-0.5610805626695923
XLNX,"February 1, 2016",0.018420058697012,1.2057123067510662
AMZN,"December 17, 2015",-0.02143653843879,-0.8387752164643099
EBAY,"March 19, 2013",-0.044136335599138696,-1.66306520928958
SNPS,"October 11, 2016",0.014691688740389997,0.7214476672690345
OSTK,"May 10, 2013",0.10486915498889,2.169503699079724
DD,"May 9, 2014",0.027299884324059994,2.090682877058975
HPQ,"April 25, 2016",-0.022303896726430003,-0.4008164222903866
TGT,"February 10, 2016",-0.04430914890137,-1.3008976754025037
LLY,"July 1, 2014",0.01946857063792,1.010262710495818
JBLU,"June 24, 2014",-0.025043762934487,-0.5533683304972962
NOK,"November 26, 2014",0.00600520407607,0.21805714233076234
HPQ,"May 10, 2013",-0.03196282182330999,-0.577095026069085
TDA,"May 6, 2015",0.00673495041711,0.5319442951837651
HPQ,"November 14, 2014",0.006449114641550001,0.26883206557895817
SPPI,"October 2, 2015",-0.12764501975502202,-2.7964950618170374
CDW,"June 30, 2015",-0.05866129064318,-2.2796512037789296
AAPL,"August 16, 2016",0.00812885476652,0.4873807022291213
AVID,"March 1, 2016",-0.12020788820890002,-1.605801404097648
V,"February 9, 2016",-0.04591490414028,-4.103169579959479
FB,"July 16, 2014",0.07429781655085,2.4596784157685345
ZNGA,"March 17, 2015",-0.0020053474286900012,-0.0308918391055024
BMY,"January 13, 2016",-0.032288342737369996,-1.281439197951286
BBY,"January 15, 2014",-0.041747672701960004,-0.7115893321881299
ACTG,"December 3, 2013",0.041046578386962,0.3743098216161676
AAPL,"December 11, 2014",-0.02462422468634,-0.9601654839019308
BMY,"June 12, 2014",-0.01191032843373,-0.38617853387009654
HPQ,"April 5, 2016",0.0026766456461500016,0.05143063091858425
TWTR,"February 17, 2017",-0.014412644925109998,-0.3402211277185627
NVS,"April 12, 2017",-0.018919313145639997,-0.9533681501374753
IDCC,"January 13, 2016",0.014145962857550001,0.3720423357289393
AMZN,"September 23, 2016",0.024797880640351,1.7614510861423154
INTU,"May 10, 2013",-0.02795923623231,-1.400484156733751
ILMN,"July 17, 2015",0.013589047665179998,0.4195261650570309
MON,"June 10, 2013",0.0007630759009100031,0.029534682475256025
TWTR,"November 14, 2014",-0.08199039003505999,-1.976496047322557
DAL,"April 26, 2013",0.043787179661509995,0.9158342933821629
INFN,"June 29, 2015",-0.04423881939647,-0.9090310392718508
F,"September 14, 2015",-0.0019706953997749976,-0.08487655525174342
BMY,"April 8, 2016",0.0524204851095,1.665958569224989
DEPO,"March 24, 2016",-0.13557730189710002,-2.0545355815526034
MSTR,"March 12, 2015",-0.03879495735864,-1.2213601819252982
JNJ,"July 8, 2015",-0.00011618499320199967,-0.01082006072098556
TGT,"March 19, 2013",0.0011091249491180005,0.050843173282571694
ITW,"January 13, 2016",-0.036225172471807794,-2.061883111131449
GE,"July 9, 2015",-0.0210082730025,-1.4402519830930642
NVTA,"June 12, 2015",0.15775342190302,1.592833687497479
IBM,"May 10, 2013",-0.014938716403963999,-1.1893780055536538
FB,"November 13, 2015",0.013230833559540002,0.45136233531679487
NVS,"April 4, 2017",0.0015854818018480009,0.08045771408770686
BKS,"December 17, 2015",0.011798478744999993,0.4070409430275632
GRPN,"February 26, 2014",-0.22600961959200006,-4.069064649939945
LLY,"January 12, 2017",0.04683772041163,0.876578918677893
RF,"September 25, 2014",0.005768609823349999,0.2543029497337124
AMZN,"July 22, 2013",-0.00891949485568,-0.2392821800642398
RCII,"April 25, 2016",-0.006345366843889998,-0.048941519348428435
INTC,"April 25, 2016",0.0005536626885,0.02563790403338041
BKS,"April 25, 2016",-0.07319548849555,-0.8386796858575112
CL,"May 29, 2013",0.00895359772698,0.6862431349470312
NUAN,"February 22, 2016",0.04655612184466,2.6030642482133772
CTXS,"April 11, 2013",-0.05185472231064,-1.1853776350154714
BSX,"June 26, 2013",-0.029193818824503996,-0.775637148706755
CPIX,"January 26, 2017",-0.05260374175393,-1.1273701534472513
